Sr No,Subsidy scheme,Scheme Type,Ministry,Description,Visiting link to know more,Applicability Central/State
154,Skill Upgradation & Quality improvement and Mahala Coir Yojana (MCY),Women,"Coir Board, Government of India, Ministry of MSME","Scheme summary /Key features:

                                Mahila Coir Yojana (MCY), in particular, aims at women empowerment through the provision of spinning equipment at subsidised rate after appropriate skill development (training) programmes. Selection of trainees for in-house training at NCT&DC will be made by inviting applications through advertisements in print and electronic media and through recommendation from the authorities of the coir producing States.
Eligibility: Rural women artisans in regions producing coir fibre.
Amount or percentage of subsidy:
                                The Coir Board provides 75% cost of motorised Ratt/motorised traditional Ratt as one-time subsidy, subject to a ceiling of 7,500 in the case of motorised Ratt and 3,200 for motorised traditional and Electronic Ratt.
                                The stipend per trainee for the skill development programmes will be limited to Rs.1000/- per month and in the case of training programmes of less than one-month duration, stipend will be disbursed on pro-rata basis. The honorarium for the trainer will be limited to Rs. 6,000/- per month. An amount of Rs.400/- per head per month will be provided as financial assistance to the training sponsoring agency to meet the operational cost of the training for raw material, power charges, other incidentals etc.",https://udyamimitra.in/page/Subsidy-Schemes#women,Central
155,Trade-Related Entrepreneurship Assistance and Development (TREAD),Women,"Ministry of MSME,
                                Govt. of India","Scheme Summary/key features:
                                TREAD Scheme aims at the economic empowerment of women. As per this scheme, the government grants up to 30% of the total project cost as decided by the lending institutions which finance the rest 70% as a loan to the applicant women. Women who are illiterate, poor and are not able to provide adequate security as demanded by the bank, government grant and the loan provided the lending institutions is routed through NGOs engaged in helping poor women. The government also grants up to Rs 1 lakh per program to training institutions and NGOs for giving training to women entrepreneurs.

                                Institutions such as Entrepreneurship Development Institutes (EDIs), NIMSME, NIESBUD, IIE, MSME-DIs EDIs sponsored by State Govt. and any other suitable institution of repute will be provided need-based Government grant primarily for undertaking activities aiming at empowerment of women such as field surveys, research studies, evaluation studies, designing of training modules, etc. etc. covered under the scheme. The grant shall be limited up to Rs. 5 lakhs per project.
Eligibility:
                                Women Entrepreneurs
                                For the details about the Eligibility criteria of NGOs for receiving grant and credit and institutions click here:  
                                    http://www.dcmsme.gov.in/schemes/treadwomen.htm
                                

Amount or percentage of subsidy:
                                As per this scheme, the government grants up to 30% of the total project cost as decided by the lending institutions which finance the rest 70% as a loan to the applicant women. The government also grants up to Rs 1 lakh per program to training institutions and NGOs for giving training to women entrepreneurs",https://www.startupindia.gov.in/content/sih/en/government-schemes/tread.html,Central
156,Investment Promotion Subsidy on Fixed Capital,Women,Govt. of Karnataka,"Scheme Summary/key features:
                                Considering the critical role of the sector Government will continue to strengthen and promote the MSME sector for achieving inclusive industrial growth and promoting employment generation
Eligibility: Micro & Small Enterprises in the state

Amount or percentage of subsidy:

                                    Investment promotion subsidy for Micro & Small Enterprises
                                

 General categorySpecial category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)


a. Micro Enterprises
Zone 1: 30% of VFA Maximum Rs.25 lakh
                                            Zone 2: 25% of VFA Maximum Rs.20 lakh
Zone 3:  Nil
 b. Small enterprises 

                                            Zone 1: 25% of VFA Maximum Rs.100 lakh

                                            Zone 2: 20% of VFA Maximum Rs.90 lakh
                                            Zone 3:  Nil
(VFA: Value of Fixed Assets)


a. Micro enterprises
Zone 1: 35% of VFA Maximum Rs.30 lakh
                                            Zone 2:  30% of VFA Maximum Rs.25 lakh
 Zone 3:  10% of VFA Maximum Rs.10 lakh
 b. Small enterprises 

                                            Zone 1: 25% of VFA Maximum Rs.105 lakh
                                            Zone 2: 20% of VFA Maximum Rs.95 lakh
                                            Zone 3: 10% of VFA Maximum Rs.25 lakh

                                                (VFA: Value of Fixed Assets)
                                                The additional subsidy of 5% of VFA in zone 1 and 2 is subject to maximum of Rs.5 lakh/br>
                                            



Micro & small enterprises can avail an investment promotion subsidy to an extent of 10% of turnover in each financial year and spread the same to a maximum of 5 financial years from the date of commercial production. Such cumulative investment promotion subsidy availed will be limited to the maximum extent as above This investment promotion subsidy is limited to either the period (five financial years) or the limits whichever is reached earlier and no carry forward is permitted
Investment promotion subsidy for Medium enterprises:
                                Minimum direct employment of 20 number for first Rs.10 Crore and additional 7 employment for every additional investment of Rs.10 Crore proportionately


Zone
Turnover %
Maximum period
VFA limit


1
2.50%
6
40% of VFA


2
5
35% of VFA


3
Nill




                                Medium enterprises can avail an investment promotion subsidy to an extent of turnover in each financial year for a maximum period as above from the date of commercial production. Such cumulative investment promotion subsidy availed will be limited to the maximum extent as above This investment promotion subsidy is limited to either the period or the VFA limits whichever is reached earlier and no carry forward is permitted
                                Medium enterprises requiring lower employment/enterprises which are unable to provide employment proportionate to investment as stipulated will have a lower turnover percentage in proportion to the total employment provided. However, the maximum period and VFA limit will be as above,",https://ebiz.karnataka.gov.in/kum/PDFS/Industrial%20Policy%202020-25.pdf,Karnataka
157,Exemption from Stamp Duty: MSMEs,Women,Govt. of Karnataka,"Scheme Summary/key features:
                                Exemption from stamp duty payable on various documentation
Eligibility:  MSMEs
                                Stamp duty to be paid in respect of loan agreements,credit deeds,mortgage and hypothecation deeds executed for availing loans from State Financial Corporation,National level financial institution ,commercial banks,Regional Rural Banks ,co-operative banks,Khadi & Village Industries Board,Khadi & Village Industries Commission,Karnataka State SC/ST Development Corporation ,Karnataka State Minority Development Corporation and other institutions which may be notified by the Govt.from time to time for the initial period of five years only  for lease deeds,lease-cum-sale ,sub-lease and absolute sale deeds executed by industrial enterprises in respect of industrial plots,sheds,industrial tenements flatted factories by Karnataka Industrial Areas Development Board,Karnataka State Small Scale Industrial Development Corporation,KEONICS,industrial co-operatives ,approved private industrial estates /parks/food parks,SPV formed by GoK/GoI,and other approved industrial parks shall be exempted as below:



General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)


Zone 1:     100%

Zone 1:     100%
                                        

  Zone 2:  100%
  Zone 2:  100%


Zone 3:      Nil
Zone 3:  75%



Amount or percentage of subsidy: Exemption as above",https://ebiz.karnataka.gov.in/kum/PDFS/Industrial%20Policy%202020-25.pdf,Karnataka
158,Concessional Registration Charges: MSMEs,Women,Govt. of Karnataka,"Scheme Summary/key features:
                                Concessional registration charges 
Eligibility: All MSMEs

                                Amount or percentage of subsidy


General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)


Zone 1 Zone 2: Re: 1 per thousand
All zones Re.1 per thousand






                                Note:
                                The exemption of stamp duty and concessional registration charges are also applicable to lands purchased under Section 109 of KLR Act 1961 and also for direct purchase of industrially converted lands
                                For the projects approved by SLSWCC /DLSWCC. This incentive will also applicable for the land transferred by KIADB to land owners as compensation for the acquired land.
                                The exemption of stamp duty and concessional registration charges are also available for registration of final sale deed in respect of lands, sheds, plots, industrial tenements after the expiry of lease period at the rate as specified in the industrial policy which was in vogue at the time of execution of lease cum sale deed,",https://ebiz.karnataka.gov.in/kum/PDFS/Industrial%20Policy%202020-25.pdf,Karnataka
159,Reimbursement of Non-Agriculture Conversion Fee,Women,Govt. of Karnataka,"Scheme Summary/key features:
                                Reimbursement of Non-Agriculture conversion fee
Eligibility: All MSMEs

                                Amount or percentage of subsidy


                                        General category
                                    

                                        Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)
                                    

Zone 1:     100%
Zone 1:     100%


Zone 2:      100%
Zone 2:      100%


Zone 3:       Nil
Zone 3:       75%",https://ebiz.karnataka.gov.in/kum/PDFS/Industrial%20Policy%202020-25.pdf,Karnataka
160,Exemption from Entry Tax: MSMEs,Women,Govt. of Karnataka,"Scheme Summary/key features:
                                On 1st July 2017, GST (Goods and Services Tax) was implemented in India. It replaced a host of central government and state government taxes, including all forms of entry tax. Karnataka State Industrial Policy exempted the MSMEs
Eligibility: MSMEs
Amount or percentage of subsidy
                                100% Exemption for MSMEs   from paying Entry tax on 'Plant & Machinery and capital goods' for an initial period of three (3) years from the date of commencement of project implementation in areas Other than Hyderabad Karnataka Area Zone 1,2,3 and HK Zone 1 & 2 for MSME entrepreneurs in the categories of General, SC/ST/Women, Minority, backward class and ex-servicemen
                                

For Technology upgradation


General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)




Zone 1: 5% for 6 years* 
Zone 2:  5% for 5 years* 
Zone 3:  5% for 5 years* 
 *On loans availed from KSFC and scheduled commercial banks which are not covered under CLCSS of Govt. of India


Zone 1:   5% for 6 years* 
Zone 2:  5% for 5 years* 
Zone 3:      5% for 5 years* 
*On loans availed from KSFC and scheduled commercial banks which are not covered under CLCSS of Govt. of India



For Quality certification


General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)


For all zones
For all zones



ISO series certification:
                                            75% of cost (maximum Rs.75,000/
BIS Certification:

                                            50% of fees payable to BIS for certification (max.Rs.20,000/ & 25% of cost (max. Rs.50,000/) for purchase of testing equipment as approved by BIS

                                        

ISO series certification:
                                            75% of cost (maximum Rs.100,000/
BIS Certification:

                                            50% of fees payable to BIS for certification (max.Rs.25,000/ & 25% of cost (max. Rs.1,00,000/) for purchase of testing equipment as approved by BIS.  We connect",https://kum.karnataka.gov.in/KUM/PDFS/Operative%20Guidelines%20for%20DIC%20KARNATAKA%20INDUSTRIAL%20POLICY%202014-,Karnataka
161,Subsidy for setting up Effluent Treatment Plant (ETP): Manufacturing MSMEs,Women,Govt. of Karnataka,"Scheme Summary/key features:
                                Subsidy is granted to MSMEs for setting up effluent treatment plants

                                Eligibility: Manufacturing MSMEs in the state
  Amount or percentage of subsidy


General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)



For All zones

                                            50% of cost of ETP (maximum Rs.50 lakh)
                                        

For All zones
                                            75% of cost of equipment
                                            (maximum Rs.60 lakh)",https://ebiz.karnataka.gov.in/kum/PDFS/Industrial%20Policy%202020-25.pdf,Karnataka
162,Interest Subsidy for Micro Enterprises (for MICRO units only),Women,Govt. of Karnataka,"Scheme Summary/key features:
                                Quality improvement interventions by MSMEs such as up-gradation of existing technologies and installing of new technologies for quality control, cleaner environmental friendly production, quality testing and fee paid for quality certifications would be eligible for incentives as in the table.
Eligibility: Micro units
Amount or percentage of subsidy:
                                We connect certification for Women owned Business enterprises (WBEs)
                                For a period of 3 years maximum limit Rs.75,000/
                                100% of certification fees for the 1st year - max. Rs.30,000
                                90% of certification fees for the 2nd year - max. Rs.27,000
                                80% of certification fees for the 3rd year- max, Rs.18,000.",https://ebiz.karnataka.gov.in/kum/PDFS/Industrial%20Policy%202020-25.pdf,Karnataka
163,Exemption from Tax on Electricity Tariff: MSME Manufacturing Enterprises,Women,Govt. of Karnataka,"Scheme Summary/key features:
                                Exemption from paying tax on electricity tariff is extended to MSME manufacturing enterprises.
Eligibility:  MSME manufacturing units
Amount or percentage of subsidy:
                                For zone 1 and Zone 2 only
                                Reimbursement of cost of power paid at Re.1/ per unit consumed for 3 years


General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)



Zone 1: 100% 
Zone 2: 100% 
Zone 3: Nil 


Zone 1: 100%
Zone 2: 100% 
Zone 3: Nil





For Technology upgradation


General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)




Zone 1: 5% for 6 years* 
Zone 2:  5% for 5 years* 
Zone 3:  5% for 5 years* 
 *On loans availed from KSFC and scheduled commercial banks which are not covered under CLCSS of Govt. of India


Zone 1:   5% for 6 years* 
Zone 2:  5% for 5 years* 
Zone 3:      5% for 5 years* 
 *On loans availed from KSFC and scheduled commercial banks which are not covered under CLCSS of Govt. of India



For Quality certification


General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)


For all zones
For all zones



ISO series certification:
                                            75% of cost (maximum Rs.75,000/
BIS Certification:

                                            50% of fees payable to BIS for certification (max.Rs.20,000/ & 25% of cost (max. Rs.50,000/) for purchase of testing equipment as approved by BIS
                                        

ISO series certification:
                                            75% of cost (maximum Rs.100,000/
BIS Certification:

                                            50% of fees payable to BIS for certification (max.Rs.25,000/ & 25% of cost (max. Rs.1,00,000/) for purchase of testing equipment as approved by BIS.  We connect",https://ebiz.karnataka.gov.in/kum/PDFS/Industrial%20Policy%202020-25.pdf,Karnataka
